name,lat,lng,refnum,layer
Billingsley-Hills House,41.65648087000005,-91.54841635499997,83000376,crbldg_pt
Boerner-Fry Company/Davis Hotel,41.66039416800004,-91.53031277799994,83000377,crbldg_pt
"Chicago, Rock Island and Pacific Railroad Passenger Station",41.65350383200007,-91.53383185499996,82000411,crbldg_pt
Jackson-Swisher House and Carriage House,41.667368759000055,-91.53339750599997,82000412,crbldg_pt
"Pratt, A. W., House",41.67459806700003,-91.54236356099995,83000378,crbldg_pt
Old Capitol,41.661365010000054,-91.53581564399997,72000475,crbldg_pt
Paul--Helen Building,41.65970295200003,-91.53261045199997,86000708,crbldg_pt
Franklin Printing House,41.65953358500008,-91.53345501899997,86000712,crbldg_pt
"Ford, Arthur Hillyer, House",41.67048037400008,-91.53020372899994,86000713,crbldg_pt
"Berryhill, Charles, House",41.670292618000076,-91.52960737799998,79000904,crbldg_pt
"Carson, Thomas C., House",41.65912366600003,-91.52253495699995,82002623,crbldg_pt
Cavanaugh-Zetek House,41.66888721000004,-91.51834796599996,77000527,crbldg_pt
Close House,41.654353695000054,-91.52984949999995,74000791,crbldg_pt
College Block Building,41.65854572600006,-91.52663161099997,73000728,crbldg_pt
Congregational Church of Iowa City,41.66215245200004,-91.53399619699996,73000729,crbldg_pt
Czecho Slovakian Association Hall,41.66728591200007,-91.52691301599998,76000775,crbldg_pt
First Johnson County Asylum,41.65614782000006,-91.60522997799995,78001226,crbldg_pt
First Welsh Congregational Church,41.61314537000004,-91.60939639999998,77000528,crbldg_pt
Kirkwood House,41.64908429900004,-91.51928170399998,74000792,crbldg_pt
Letovsky-Rohret House,41.66540579900004,-91.52779663199999,82002624,crbldg_pt
Linsay House,41.65757830700005,-91.52142929399997,77000529,crbldg_pt
Nicking House,41.66362339500006,-91.52927852899995,75000693,crbldg_pt
North Presbyterian Church,41.66387242700006,-91.53467788999995,73000730,crbldg_pt
Oakes-Wood House,41.65699712600008,-91.51825995599995,78001227,crbldg_pt
Old Post Office,41.66045145500004,-91.53127231799994,79000905,crbldg_pt
Park House Hotel,41.66268505200003,-91.53338358099995,78001229,crbldg_pt
Plum Grove,41.647799991000056,-91.52447459899997,73000731,crbldg_pt
"Rittenmeyer, F. X., House",41.66691190300003,-91.52584047899995,79000906,crbldg_pt
St. Mary's Church and Rectory,41.662756717000036,-91.53194064099995,80001454,crbldg_pt
Trinity Episcopal Church,41.659316733000026,-91.53057745799998,74000793,crbldg_pt
Vogt House,41.67077556300006,-91.52863540299995,78001231,crbldg_pt
"Wentz, Jacob, House",41.66408588000007,-91.53022890999995,74000794,crbldg_pt
Windrem House,41.66143167200005,-91.52692621199998,77000531,crbldg_pt
Johnson County Courthouse,41.656134931000054,-91.53533350599997,75000692,crbldg_pt
Economy Advertising Company,41.66347398700003,-91.53168414299995,86000875,crbldg_pt
Summit Apartment Building,41.65811006800004,-91.52075658799998,83004188,crbldg_pt
Union Brewery,41.663296968000054,-91.53192838199999,86000710,crbldg_pt
"Johnson, Sylvanus, House",41.690595846000065,-91.52554072199996,90001857,crbldg_pt
"Shimek, Bohumil, House",41.669720109000025,-91.52709782199997,91001837,crbldg_pt
Rose Hill,41.665808792000064,-91.51709721199995,92000425,crbldg_pt
Schindhelm--Drews House,41.666081517000066,-91.52429789899998,93001589,crbldg_pt
"Cannon, Wilbur D. and Hattie, House",41.65644144400005,-91.54529469299996,94001198,crbldg_pt
St. Mary's Rectory,41.663295435000066,-91.53180830599996,95000811,crbldg_pt
"Bostick, William, House",41.66264981300003,-91.53062186399995,96000312,crbldg_pt
Clark House,41.64904209200006,-91.52300527499995,96000545,crbldg_pt
"Harvat, Emma J., and Mary E. Stach House",41.66715190000008,-91.53051959799996,00000478,crbldg_pt
Bethel AME Church,41.656250044000046,-91.52320105699994,00000925,crbldg_pt
"Ashton, Ned, House",41.67214109200006,-91.55106808699998,00001677,crbldg_pt
Englert Theatre,41.65969988900008,-91.53237031399999,01000911,crbldg_pt
"Wetherby, Isaac A., House",41.66910096400005,-91.52306383499996,09000127,crbldg_pt
Old Settlers' Association of Johnson County Cabins,41.673276472000055,-91.53699456799995,13000429,crbldg_pt
"Wehner, Roland and Marilyn, House",41.70989173900006,-91.48297806699998,13000691,crbldg_pt
Sigma Pi Fraternity House,41.66981516200008,-91.54103691499995,13001019,crbldg_pt
Bowery Street Grocery Store,41.65612999500007,-91.52871127499998,14000112,crbldg_pt
Hawthorne Glove and Novelty Company--Shrader Drug Company Building,41.652521773000046,-91.53010973599999,14000666,crbldg_pt
Union Bakery,41.66382818400007,-91.53173833599999,15000893,crbldg_pt
East College Street Historic District,41.65793234100005,-91.52796668399998,97000624,crdist_pt
Sutliff Bridge,41.842551677000074,-91.03316902099994,98000520,crstru_pt
